Transaction_ID,Company_Name,Industry_Sector,Transaction_Amount_INR,Cybersecurity_Risk_Level,Forensic_Audit_Conducted,Fraud_Detected,Fraud_Type,Anomaly_Score,Cybersecurity_Breach
33303,Company_33303,Retail,1941273,Medium,No,No,None,0.75,No
33304,Company_33304,Retail,3842299,Medium,Yes,No,None,0.59,No
33305,Company_33305,IT Services,3873765,High,No,No,None,0.27,No
33306,Company_33306,Banking,2862948,High,No,No,None,0.69,No
33307,Company_33307,Healthcare,3631426,High,No,No,None,0.99,No
33308,Company_33308,Healthcare,4185458,High,No,No,None,0.13,Yes
33309,Company_33309,Manufacturing,4709174,Medium,No,No,None,0.02,Yes
33310,Company_33310,Healthcare,3424131,Low,No,No,None,0.19,No
33311,Company_33311,Banking,1878620,Low,No,No,None,0.62,No
33312,Company_33312,Healthcare,2251853,Low,No,No,None,0.24,No
33313,Company_33313,IT Services,372957,Medium,No,No,None,0.71,No
33314,Company_33314,E-commerce,2186151,Low,No,No,None,0.78,No
33315,Company_33315,Healthcare,3464309,Low,No,No,None,0.52,No
33316,Company_33316,Retail,266796,Low,Yes,No,None,0,No
33317,Company_33317,Retail,3076822,Medium,Yes,No,None,0.99,No
33318,Company_33318,E-commerce,2292556,High,Yes,Yes,Corruption,0.56,No
33319,Company_33319,Retail,479409,Low,No,No,None,0.6,No
33320,Company_33320,Retail,2542645,Medium,No,Yes,Financial Statement Fraud,0.23,No
33321,Company_33321,IT Services,2531529,Low,Yes,No,None,0.05,No
33322,Company_33322,IT Services,336198,Low,No,No,None,0.21,No
33323,Company_33323,IT Services,3259528,Low,No,Yes,Asset Misappropriation,0.97,No
33324,Company_33324,Healthcare,2305867,Medium,No,No,None,0.24,No
33325,Company_33325,E-commerce,848925,Medium,No,No,None,0.23,No
33326,Company_33326,Retail,3824163,Low,No,Yes,Corruption,0.84,No
33327,Company_33327,Manufacturing,4148444,Low,Yes,Yes,Corruption,0.64,No
33328,Company_33328,E-commerce,3338603,High,Yes,No,None,0.29,No
33329,Company_33329,Manufacturing,3878846,High,Yes,Yes,Asset Misappropriation,0.23,No
33330,Company_33330,Retail,4102774,Low,Yes,No,None,0.75,No
33331,Company_33331,Banking,4978997,High,No,No,None,0.08,No
33332,Company_33332,E-commerce,1189606,Low,No,Yes,Financial Statement Fraud,0.27,No
33333,Company_33333,Healthcare,298404,Medium,No,Yes,Financial Statement Fraud,0.69,No
33334,Company_33334,Manufacturing,708424,Low,No,No,None,0.19,No
33335,Company_33335,E-commerce,288764,High,Yes,No,None,0.35,Yes
33336,Company_33336,E-commerce,2582564,Low,No,No,None,0.73,Yes
33337,Company_33337,IT Services,497151,Low,No,No,None,0.05,No
33338,Company_33338,Banking,1639616,Medium,Yes,No,None,0.63,No
33339,Company_33339,IT Services,811018,High,No,No,None,0.34,Yes
33340,Company_33340,Banking,3417047,Medium,Yes,No,None,0.33,No
33341,Company_33341,Banking,2585677,High,No,No,None,0.66,No
33342,Company_33342,Healthcare,1572967,Medium,Yes,No,None,0.93,No
33343,Company_33343,E-commerce,1018561,Low,No,No,None,0.28,No
33344,Company_33344,IT Services,931425,Low,Yes,No,None,0.06,No
33345,Company_33345,IT Services,889389,Medium,No,No,None,0.51,No
33346,Company_33346,Manufacturing,1097948,High,No,No,None,0.94,Yes
33347,Company_33347,E-commerce,4110310,Medium,No,No,None,0.1,Yes
33348,Company_33348,Retail,2813605,Low,No,No,None,0.2,No
33349,Company_33349,Retail,3493065,Low,No,No,None,0.95,No
33350,Company_33350,Manufacturing,2771791,Low,No,No,None,0.22,Yes
33351,Company_33351,Banking,1746904,High,Yes,No,None,0.56,No
33352,Company_33352,Manufacturing,2541692,High,No,Yes,Identity Theft,0.63,No
33353,Company_33353,Manufacturing,1412714,High,Yes,Yes,Corruption,0.89,No
33354,Company_33354,IT Services,4268629,Low,No,No,None,0.12,No
33355,Company_33355,Manufacturing,1670911,Medium,Yes,No,None,0.51,No
33356,Company_33356,Banking,575953,Medium,No,No,None,0.48,No
33357,Company_33357,Retail,92539,Medium,Yes,No,None,0.09,No
33358,Company_33358,Healthcare,2978496,Medium,Yes,Yes,Identity Theft,0.95,No
33359,Company_33359,E-commerce,1388429,Low,No,No,None,0.35,No
33360,Company_33360,Manufacturing,3056771,Medium,No,No,None,0.62,No
33361,Company_33361,E-commerce,4874020,Low,No,No,None,0.65,No
33362,Company_33362,Manufacturing,4032640,Low,No,No,None,0.57,No
33363,Company_33363,E-commerce,1012626,High,No,No,None,0.16,No
33364,Company_33364,IT Services,2958302,Low,No,No,None,0.66,No
33365,Company_33365,IT Services,403848,Low,No,No,None,0.96,No
33366,Company_33366,E-commerce,3140744,High,No,Yes,Financial Statement Fraud,0.63,No
33367,Company_33367,Manufacturing,2082124,High,No,No,None,0.69,No
33368,Company_33368,Manufacturing,4869491,Low,Yes,No,None,0.01,No
33369,Company_33369,Banking,3370444,Medium,No,No,None,0.73,No
33370,Company_33370,Retail,2249909,Medium,No,No,None,0.51,No
33371,Company_33371,Retail,1392507,Low,Yes,No,None,0.49,No
33372,Company_33372,Healthcare,2068453,High,Yes,No,None,0.61,No
33373,Company_33373,Retail,1703248,Low,No,No,None,0.99,No
33374,Company_33374,Healthcare,1121145,Low,No,No,None,0.14,No
33375,Company_33375,IT Services,2005169,Low,No,No,None,0.62,No
33376,Company_33376,Healthcare,3849068,High,No,No,None,0.95,No
33377,Company_33377,Healthcare,4803623,Low,No,Yes,Corruption,0.58,No
33378,Company_33378,Retail,973187,Medium,Yes,Yes,Identity Theft,0.91,No
33379,Company_33379,Manufacturing,514824,Low,No,No,None,0.87,No
33380,Company_33380,IT Services,2849165,Medium,No,No,None,0.47,No
33381,Company_33381,Banking,1612476,Medium,No,No,None,0.08,No
33382,Company_33382,Healthcare,3821650,Medium,No,Yes,Asset Misappropriation,0.78,No
33383,Company_33383,Healthcare,1291242,Low,No,No,None,0.04,No
33384,Company_33384,E-commerce,1917876,Low,No,No,None,0.29,No
33385,Company_33385,Healthcare,2169047,Medium,No,No,None,0.5,No
33386,Company_33386,Manufacturing,3922561,Medium,No,Yes,Financial Statement Fraud,0.2,No
33387,Company_33387,Banking,4997593,High,Yes,No,None,0.83,No
33388,Company_33388,E-commerce,2425316,Low,Yes,No,None,0.05,No
33389,Company_33389,Retail,4667130,High,No,Yes,Financial Statement Fraud,0.67,No
33390,Company_33390,IT Services,3580569,Low,No,No,None,0.75,No
33391,Company_33391,Manufacturing,3512652,Medium,No,No,None,0.28,No
33392,Company_33392,Banking,1060300,Medium,No,No,None,0.67,No
33393,Company_33393,IT Services,839297,Medium,No,No,None,0.4,No
33394,Company_33394,Retail,822001,Medium,No,No,None,0.67,No
33395,Company_33395,IT Services,4113210,High,No,No,None,0.12,No
33396,Company_33396,E-commerce,4269178,High,Yes,Yes,Corruption,0.91,No
33397,Company_33397,Healthcare,450187,High,No,No,None,0.62,No
33398,Company_33398,Healthcare,2049873,Low,No,No,None,0.49,No
33399,Company_33399,Manufacturing,1673311,Medium,No,Yes,Asset Misappropriation,0.33,No
33400,Company_33400,IT Services,632057,High,No,No,None,0.87,No
33401,Company_33401,Healthcare,734081,Low,No,No,None,0.12,No
33402,Company_33402,Manufacturing,2329368,High,No,Yes,Corruption,0.36,No
33403,Company_33403,Manufacturing,3930782,High,No,Yes,Identity Theft,0.97,No
33404,Company_33404,E-commerce,2815023,Low,Yes,No,None,0.28,No
33405,Company_33405,Manufacturing,4030703,Medium,No,No,None,0.78,No
33406,Company_33406,Retail,3175563,Low,No,No,None,0.03,No
33407,Company_33407,Healthcare,2261041,High,No,No,None,0.94,No
33408,Company_33408,Healthcare,1690242,Low,Yes,Yes,Financial Statement Fraud,0.11,No
33409,Company_33409,Banking,3861210,Low,No,No,None,0.46,No
33410,Company_33410,Retail,1709668,High,No,No,None,0.02,No
33411,Company_33411,Healthcare,3859190,Low,No,No,None,0.62,No
33412,Company_33412,E-commerce,4842811,Medium,No,No,None,0.96,No
33413,Company_33413,Healthcare,3852766,Low,No,Yes,Identity Theft,0.87,No
33414,Company_33414,Banking,1035091,Low,Yes,No,None,0.39,No
33415,Company_33415,IT Services,2186510,High,No,Yes,Corruption,0.95,No
33416,Company_33416,IT Services,2206045,High,Yes,No,None,0.65,No
33417,Company_33417,Retail,2951125,Low,Yes,No,None,0.59,No
33418,Company_33418,Manufacturing,3392469,High,No,Yes,Corruption,0.07,No
33419,Company_33419,Banking,4795666,High,No,No,None,0.82,No
33420,Company_33420,Banking,174424,Low,No,No,None,0.71,No
33421,Company_33421,Healthcare,1845005,Medium,No,No,None,0.11,No
33422,Company_33422,E-commerce,1723458,High,No,Yes,Asset Misappropriation,0.54,No
33423,Company_33423,Healthcare,2454575,High,No,No,None,0.22,No
33424,Company_33424,E-commerce,1711498,Low,Yes,Yes,Asset Misappropriation,0.27,No
33425,Company_33425,Banking,2924615,High,Yes,No,None,0.78,No
33426,Company_33426,Manufacturing,1501168,High,Yes,Yes,Identity Theft,0.66,No
33427,Company_33427,IT Services,4753043,High,No,No,None,0.87,No
33428,Company_33428,Retail,1341544,Medium,No,Yes,Financial Statement Fraud,0.68,No
33429,Company_33429,E-commerce,4623360,High,No,No,None,0.97,No
33430,Company_33430,IT Services,243502,Low,No,No,None,0.43,No
33431,Company_33431,Retail,2707287,Low,No,No,None,0.22,No
33432,Company_33432,Manufacturing,2333670,Medium,Yes,No,None,0.12,No
33433,Company_33433,Banking,2971492,Low,No,No,None,0.32,Yes
33434,Company_33434,Manufacturing,1935063,High,No,No,None,0.47,Yes
33435,Company_33435,E-commerce,3746064,Medium,No,No,None,0.4,No
33436,Company_33436,Banking,3246455,Medium,No,No,None,0.02,No
33437,Company_33437,Healthcare,3330176,Medium,No,No,None,0.08,No
33438,Company_33438,Retail,1072051,High,No,No,None,0.44,No
33439,Company_33439,Healthcare,3399312,High,No,No,None,0.71,No
33440,Company_33440,Banking,2677784,Low,Yes,No,None,0.72,Yes
33441,Company_33441,Retail,2454977,Medium,Yes,No,None,0.2,No
33442,Company_33442,Retail,4526387,High,No,No,None,0.46,Yes
33443,Company_33443,Healthcare,1412369,High,No,No,None,0.54,No
33444,Company_33444,Retail,119110,Medium,No,Yes,Asset Misappropriation,0.55,No
33445,Company_33445,Banking,4473345,Medium,Yes,No,None,0.08,No
33446,Company_33446,E-commerce,3932770,High,Yes,No,None,0.66,No
33447,Company_33447,E-commerce,1988072,Medium,No,No,None,0.63,No
33448,Company_33448,Banking,3000642,Low,No,No,None,0.03,Yes
33449,Company_33449,Healthcare,328112,High,No,No,None,0.8,No
33450,Company_33450,Manufacturing,4391195,Medium,No,No,None,0.45,No
33451,Company_33451,Banking,4615666,Low,No,No,None,0.2,No
33452,Company_33452,E-commerce,1526405,Medium,No,No,None,0.63,No
33453,Company_33453,Banking,239628,Low,No,Yes,Identity Theft,0.72,No
33454,Company_33454,Retail,2741070,High,Yes,No,None,0.29,No
33455,Company_33455,Retail,633154,Medium,No,Yes,Identity Theft,0.08,No
33456,Company_33456,Banking,930168,High,No,No,None,0.52,No
33457,Company_33457,Healthcare,4130032,High,No,No,None,0.02,No
33458,Company_33458,Manufacturing,896598,Low,Yes,Yes,Financial Statement Fraud,0.09,No
33459,Company_33459,Retail,3290605,Low,No,No,None,0.96,No
33460,Company_33460,E-commerce,105156,Medium,No,No,None,0.45,No
33461,Company_33461,Retail,4094892,Low,No,No,None,0.15,No
33462,Company_33462,E-commerce,4371420,Medium,No,No,None,0.07,No
33463,Company_33463,Manufacturing,4159720,Medium,Yes,No,None,0.46,No
33464,Company_33464,Retail,4843509,High,No,No,None,0.17,No
33465,Company_33465,Healthcare,2605739,Medium,Yes,No,None,0.48,No
33466,Company_33466,E-commerce,447395,Low,Yes,No,None,0.97,Yes
33467,Company_33467,Retail,2256315,Medium,No,No,None,0.31,No
33468,Company_33468,Retail,4133734,Low,Yes,No,None,0.97,No
33469,Company_33469,Banking,1626334,Medium,No,No,None,0.17,No
33470,Company_33470,Healthcare,4525880,Medium,Yes,Yes,Financial Statement Fraud,0.07,No
33471,Company_33471,Healthcare,2020380,Medium,Yes,No,None,0.17,No
33472,Company_33472,Banking,4413400,Medium,No,No,None,0.93,No
33473,Company_33473,E-commerce,3957598,High,No,No,None,0.99,No
33474,Company_33474,IT Services,1487721,Medium,No,No,None,0.03,No
33475,Company_33475,Manufacturing,3917687,Low,No,No,None,0.16,No
33476,Company_33476,Healthcare,4617588,High,No,No,None,0.71,No
33477,Company_33477,IT Services,1373826,Low,No,No,None,0.32,No
33478,Company_33478,E-commerce,1867685,High,No,No,None,0.44,No
33479,Company_33479,Manufacturing,4230643,Medium,No,No,None,0.34,No
33480,Company_33480,Healthcare,4010956,Medium,No,Yes,Identity Theft,0.1,No
33481,Company_33481,Retail,1626070,Medium,Yes,No,None,0.52,No
33482,Company_33482,Healthcare,3443306,High,No,No,None,0.53,No
33483,Company_33483,Manufacturing,284918,Medium,No,No,None,0.41,No
33484,Company_33484,IT Services,2138307,Low,No,No,None,0.8,Yes
33485,Company_33485,Retail,3395381,High,No,No,None,0.05,No
33486,Company_33486,Manufacturing,3888144,Low,Yes,No,None,0.89,No
33487,Company_33487,E-commerce,3214253,Low,No,No,None,0.33,No
33488,Company_33488,Manufacturing,3048114,High,No,Yes,Corruption,0.65,No
33489,Company_33489,Healthcare,2984311,Medium,No,No,None,0.91,No
33490,Company_33490,E-commerce,354505,Low,No,Yes,Corruption,0.45,No
33491,Company_33491,Banking,2821648,Medium,No,No,None,0.81,No
33492,Company_33492,Banking,712086,Low,Yes,No,None,0.44,No
33493,Company_33493,Retail,1303445,High,No,No,None,0.3,Yes
33494,Company_33494,Manufacturing,1148110,High,Yes,Yes,Financial Statement Fraud,0.09,No
33495,Company_33495,IT Services,2208933,High,Yes,Yes,Financial Statement Fraud,0.26,No
33496,Company_33496,Retail,4155275,Medium,No,No,None,0.58,No
33497,Company_33497,E-commerce,1160185,Low,Yes,No,None,0.75,No
33498,Company_33498,Retail,4375443,Medium,No,No,None,0.66,No
33499,Company_33499,Healthcare,2726445,High,Yes,No,None,0.86,No
33500,Company_33500,E-commerce,4961363,Medium,No,Yes,Identity Theft,0.92,No
33501,Company_33501,IT Services,4927068,High,Yes,No,None,0.01,No
33502,Company_33502,Manufacturing,560620,Low,No,No,None,0.45,No
33503,Company_33503,E-commerce,4666686,High,No,No,None,0.87,No
33504,Company_33504,Manufacturing,1228775,Medium,Yes,Yes,Identity Theft,0.76,Yes
33505,Company_33505,Manufacturing,2586889,Medium,No,Yes,Corruption,0.54,No
33506,Company_33506,Retail,4148851,High,No,No,None,0.63,Yes
33507,Company_33507,Healthcare,1076778,Medium,No,No,None,0.98,Yes
33508,Company_33508,Retail,4935359,High,No,No,None,0.62,No
33509,Company_33509,Banking,555460,Medium,No,No,None,0.69,No
33510,Company_33510,Banking,675745,High,No,No,None,0.88,No
33511,Company_33511,Manufacturing,3402423,Low,No,Yes,Asset Misappropriation,0.75,No
33512,Company_33512,Healthcare,4423459,Medium,No,No,None,0.33,No
33513,Company_33513,E-commerce,648208,Medium,Yes,No,None,0.54,No
33514,Company_33514,Manufacturing,4615599,Low,Yes,No,None,0.16,No
33515,Company_33515,E-commerce,10251,Low,Yes,No,None,0.03,No
33516,Company_33516,Manufacturing,4280501,High,No,No,None,0.6,No
33517,Company_33517,Retail,843614,Medium,Yes,No,None,0.78,No
33518,Company_33518,Manufacturing,3702490,Low,No,No,None,0.85,No
33519,Company_33519,Manufacturing,1000733,Medium,No,No,None,0.9,No
33520,Company_33520,Healthcare,4418400,Low,No,No,None,0.48,No
33521,Company_33521,Healthcare,1352666,High,No,No,None,0.92,No
33522,Company_33522,E-commerce,1881327,High,No,Yes,Asset Misappropriation,0.81,Yes
33523,Company_33523,Healthcare,1365614,Medium,No,No,None,0.48,Yes
33524,Company_33524,Manufacturing,642648,Low,No,No,None,0.38,No
33525,Company_33525,Healthcare,3150716,Low,Yes,No,None,0.64,Yes
33526,Company_33526,Healthcare,4988531,High,No,No,None,0.06,No
33527,Company_33527,IT Services,430446,Low,Yes,No,None,0.07,No
33528,Company_33528,IT Services,3905940,Low,No,No,None,0.61,No
33529,Company_33529,Banking,4623242,Low,No,Yes,Corruption,0.14,No
33530,Company_33530,Retail,2735986,Medium,No,No,None,0.93,No
33531,Company_33531,Retail,4750028,Low,No,No,None,0.09,No
33532,Company_33532,Healthcare,3084343,High,No,No,None,0.73,No
33533,Company_33533,Banking,3307739,Medium,No,No,None,0.81,No
33534,Company_33534,Banking,77489,Low,No,Yes,Corruption,0.24,No
33535,Company_33535,E-commerce,1065971,Low,No,Yes,Corruption,0.04,No
33536,Company_33536,IT Services,4964869,Low,No,No,None,0.53,No
33537,Company_33537,Banking,3020118,Medium,No,No,None,0.38,No
33538,Company_33538,Manufacturing,2858423,Low,Yes,No,None,0.2,No
33539,Company_33539,E-commerce,3714504,Low,No,Yes,Identity Theft,0.62,Yes
33540,Company_33540,Healthcare,500158,High,No,No,None,0.92,No
33541,Company_33541,Manufacturing,2646984,Medium,Yes,No,None,0.33,No
33542,Company_33542,Retail,4126869,High,No,No,None,0.39,No
33543,Company_33543,IT Services,3141946,High,Yes,No,None,0.05,No
33544,Company_33544,Manufacturing,740357,Medium,No,No,None,0.38,No
33545,Company_33545,Healthcare,1645162,Low,No,No,None,0.83,No
33546,Company_33546,Manufacturing,4476501,Medium,Yes,Yes,Corruption,0.99,No
33547,Company_33547,Manufacturing,4158009,High,No,No,None,0.91,No
33548,Company_33548,Banking,2871625,Medium,No,No,None,0.02,No
33549,Company_33549,IT Services,1260766,Medium,No,No,None,0.14,Yes
33550,Company_33550,Retail,2652471,High,No,No,None,0.03,No
33551,Company_33551,Healthcare,1295915,High,No,No,None,0.98,No
33552,Company_33552,E-commerce,992494,Low,No,No,None,0.95,No
33553,Company_33553,E-commerce,3576889,Low,No,Yes,Identity Theft,0.73,No
33554,Company_33554,Healthcare,2936594,Medium,Yes,No,None,0.67,No
33555,Company_33555,Retail,3984330,Medium,No,No,None,0.19,No
33556,Company_33556,Healthcare,2237461,Low,No,No,None,0.78,No
33557,Company_33557,Banking,447082,High,No,No,None,0.73,No
33558,Company_33558,E-commerce,3803018,Medium,No,Yes,Financial Statement Fraud,0.59,No
33559,Company_33559,E-commerce,1944286,High,No,No,None,0.63,No
33560,Company_33560,Manufacturing,2557151,Low,Yes,No,None,0.3,No
33561,Company_33561,Banking,3387522,Medium,Yes,No,None,0.24,No
33562,Company_33562,E-commerce,928684,Medium,No,Yes,Financial Statement Fraud,0.4,No
33563,Company_33563,Banking,4928540,High,No,No,None,0.76,Yes
33564,Company_33564,Banking,2082986,High,No,No,None,0.21,No
33565,Company_33565,Retail,1258766,Medium,Yes,No,None,0.53,No
33566,Company_33566,E-commerce,2009709,Low,No,No,None,0.8,No
33567,Company_33567,IT Services,4493429,Low,No,No,None,0.63,No
33568,Company_33568,Retail,2263511,High,No,No,None,0.73,No
33569,Company_33569,Retail,1663422,Low,Yes,Yes,Corruption,0.1,No
33570,Company_33570,Banking,3405303,Low,No,No,None,0.59,No
33571,Company_33571,IT Services,2450778,Low,Yes,No,None,0.95,No
33572,Company_33572,Retail,369006,Low,No,No,None,0.75,No
33573,Company_33573,IT Services,969386,High,No,No,None,0.22,No
33574,Company_33574,E-commerce,1634987,High,Yes,No,None,0.59,No
33575,Company_33575,Banking,1927634,High,No,Yes,Identity Theft,0.07,No
33576,Company_33576,Retail,3034481,Medium,No,No,None,0.86,No
33577,Company_33577,IT Services,1222374,High,No,No,None,0.91,No
33578,Company_33578,Healthcare,3960282,High,No,No,None,0.65,No
33579,Company_33579,Retail,4661605,High,No,No,None,0.38,No
33580,Company_33580,Retail,1630555,Low,Yes,No,None,0.62,No
33581,Company_33581,Retail,63846,Low,No,No,None,0.73,No
33582,Company_33582,IT Services,3527054,Low,Yes,No,None,0.61,No
33583,Company_33583,Manufacturing,2434915,Low,No,No,None,0.98,No
33584,Company_33584,E-commerce,419518,Low,No,No,None,0.48,Yes
33585,Company_33585,Retail,1865851,Medium,No,No,None,0.59,No
33586,Company_33586,Healthcare,708076,Medium,Yes,No,None,0.17,No
33587,Company_33587,Healthcare,3813350,Medium,Yes,Yes,Corruption,0.65,No
33588,Company_33588,Banking,4943485,Low,No,No,None,0.53,No
33589,Company_33589,Manufacturing,3938232,Low,Yes,No,None,0.19,No
33590,Company_33590,Manufacturing,3312965,High,No,Yes,Corruption,0.86,No
33591,Company_33591,IT Services,4051305,Low,No,No,None,0.29,No
33592,Company_33592,Banking,2375955,Medium,No,Yes,Financial Statement Fraud,0.21,No
33593,Company_33593,IT Services,3181579,Medium,Yes,No,None,0.29,Yes
33594,Company_33594,Banking,3259788,Medium,Yes,Yes,Asset Misappropriation,0.03,No
33595,Company_33595,E-commerce,3644469,Medium,Yes,Yes,Corruption,0.9,No
33596,Company_33596,Manufacturing,2013566,Low,No,No,None,0.64,Yes
33597,Company_33597,E-commerce,2967964,Low,No,No,None,0.03,No
33598,Company_33598,IT Services,3010614,High,Yes,No,None,0.64,No
33599,Company_33599,Banking,4549029,Low,No,No,None,0.62,No
33600,Company_33600,Manufacturing,2862382,Medium,Yes,No,None,0.16,No
33601,Company_33601,Manufacturing,4088544,High,Yes,Yes,Asset Misappropriation,0.04,No
33602,Company_33602,Retail,3959841,Medium,No,No,None,0.08,No
33603,Company_33603,IT Services,1487368,High,Yes,No,None,0.44,No
33604,Company_33604,Retail,2071005,Medium,No,No,None,0.67,No
33605,Company_33605,Manufacturing,4600984,Medium,No,Yes,Financial Statement Fraud,0.41,No
33606,Company_33606,IT Services,3859610,Low,No,No,None,0.97,No
33607,Company_33607,IT Services,2827297,High,No,No,None,0.79,No
33608,Company_33608,E-commerce,770613,Medium,No,No,None,0.95,No
33609,Company_33609,Healthcare,3616529,High,No,No,None,0.1,No
33610,Company_33610,Banking,3332910,Low,No,Yes,Identity Theft,0.07,No
33611,Company_33611,Healthcare,1680251,High,No,No,None,0.95,No
33612,Company_33612,Healthcare,3577028,Medium,No,No,None,0.27,No
33613,Company_33613,Manufacturing,3029277,Low,No,Yes,Corruption,0.55,Yes
33614,Company_33614,E-commerce,1528726,Medium,Yes,Yes,Financial Statement Fraud,0.51,No
33615,Company_33615,Banking,2624748,Low,No,No,None,0.68,No
33616,Company_33616,Healthcare,3801755,Medium,No,No,None,0.71,No
33617,Company_33617,Healthcare,2231604,Medium,No,No,None,0.91,No
33618,Company_33618,IT Services,3895372,High,No,No,None,0.83,No
33619,Company_33619,Manufacturing,2462466,High,Yes,No,None,0.43,No
33620,Company_33620,Healthcare,608921,Low,Yes,No,None,0.64,No
33621,Company_33621,Banking,2197417,High,No,No,None,0.91,No
33622,Company_33622,Retail,2697056,High,Yes,No,None,0.88,No
33623,Company_33623,Retail,4672086,Medium,No,No,None,0.72,Yes
33624,Company_33624,Manufacturing,1824948,Medium,No,No,None,0.75,No
33625,Company_33625,Retail,4132749,High,No,No,None,0.77,No
33626,Company_33626,IT Services,3099295,High,No,No,None,0.42,No
33627,Company_33627,IT Services,2526630,High,No,No,None,0.01,No
33628,Company_33628,Banking,359957,Medium,No,No,None,0.52,No
33629,Company_33629,E-commerce,3643690,High,No,No,None,0.46,No
33630,Company_33630,Manufacturing,1970714,High,No,No,None,0.36,No
33631,Company_33631,Manufacturing,2850524,Low,No,Yes,Corruption,0.5,No
33632,Company_33632,Retail,3883450,Low,Yes,Yes,Financial Statement Fraud,0.61,Yes
33633,Company_33633,Healthcare,827682,Medium,No,No,None,0.46,No
33634,Company_33634,Healthcare,352427,High,No,No,None,0.46,No
33635,Company_33635,E-commerce,525204,Low,No,No,None,0.27,No
33636,Company_33636,Healthcare,2803495,Medium,No,No,None,0.18,No
33637,Company_33637,E-commerce,1309086,Medium,No,Yes,Asset Misappropriation,0.73,No
33638,Company_33638,Banking,961648,Medium,No,No,None,0.2,No
33639,Company_33639,Manufacturing,3457248,Low,Yes,Yes,Financial Statement Fraud,0.64,No
33640,Company_33640,Retail,920236,High,No,No,None,0.78,No
33641,Company_33641,Banking,1363156,Medium,No,No,None,1,Yes
33642,Company_33642,IT Services,1580983,High,No,No,None,0.16,No
33643,Company_33643,IT Services,2204922,Medium,No,Yes,Asset Misappropriation,0.3,No
33644,Company_33644,IT Services,2025465,High,No,No,None,0.17,No
33645,Company_33645,E-commerce,359937,High,No,No,None,0.22,No
33646,Company_33646,E-commerce,167954,Low,Yes,Yes,Corruption,0.74,No
33647,Company_33647,Manufacturing,4654465,Medium,Yes,No,None,0.31,Yes
33648,Company_33648,IT Services,2245072,Low,Yes,No,None,0.55,No
33649,Company_33649,E-commerce,3640246,Medium,No,No,None,0.79,No
33650,Company_33650,E-commerce,3606517,High,No,No,None,0.63,No
33651,Company_33651,Healthcare,1988928,High,No,No,None,0.17,No
33652,Company_33652,E-commerce,1698975,Low,No,No,None,0.6,No
33653,Company_33653,IT Services,3265505,Low,No,Yes,Financial Statement Fraud,0.13,No
33654,Company_33654,Banking,889689,Low,No,No,None,0.63,No
33655,Company_33655,IT Services,3758062,High,Yes,No,None,0.91,No
33656,Company_33656,Healthcare,4982983,Medium,No,No,None,1,No
33657,Company_33657,IT Services,2811279,Medium,No,No,None,0.27,No
33658,Company_33658,Retail,3345282,High,No,Yes,Corruption,0.15,No
33659,Company_33659,Healthcare,497385,High,Yes,No,None,0.66,No
33660,Company_33660,Manufacturing,3167348,High,Yes,No,None,0.54,No
33661,Company_33661,IT Services,2313579,Medium,Yes,No,None,0.84,Yes
33662,Company_33662,E-commerce,4357471,High,Yes,No,None,0.92,No
33663,Company_33663,Banking,4742699,Low,Yes,No,None,0.31,No
33664,Company_33664,IT Services,3688705,Medium,No,No,None,0.27,No
33665,Company_33665,Banking,3845182,High,Yes,No,None,0.69,Yes
33666,Company_33666,Retail,2220357,Medium,Yes,Yes,Corruption,0.8,No
33667,Company_33667,Manufacturing,2406055,High,Yes,No,None,0.67,No
33668,Company_33668,E-commerce,3840183,Low,No,Yes,Financial Statement Fraud,0.2,No
33669,Company_33669,Healthcare,3146074,High,No,Yes,Identity Theft,0.73,No
33670,Company_33670,Healthcare,2947886,High,No,No,None,0.06,No
33671,Company_33671,Manufacturing,2588240,Low,No,No,None,0.47,No
33672,Company_33672,Retail,788388,Low,Yes,Yes,Corruption,0.05,No
33673,Company_33673,Retail,4352071,High,No,Yes,Asset Misappropriation,0.75,No
33674,Company_33674,IT Services,952624,Medium,No,No,None,0.73,No
33675,Company_33675,Retail,265359,Medium,No,No,None,0.39,No
33676,Company_33676,IT Services,4411595,Medium,No,No,None,0.1,Yes
33677,Company_33677,Banking,2116041,Low,Yes,No,None,0.96,No
33678,Company_33678,Manufacturing,4280702,Low,No,Yes,Financial Statement Fraud,0.99,No
33679,Company_33679,Banking,1956542,High,Yes,No,None,0.03,No
33680,Company_33680,Banking,4138174,Medium,Yes,No,None,0.38,Yes
33681,Company_33681,Banking,181910,High,No,No,None,0.3,Yes
33682,Company_33682,Banking,3532945,Medium,No,Yes,Identity Theft,0.09,No
33683,Company_33683,Healthcare,3812226,Low,Yes,Yes,Identity Theft,0.9,Yes
33684,Company_33684,Retail,2721090,High,Yes,No,None,0.2,No
33685,Company_33685,Manufacturing,1364606,Medium,Yes,No,None,0.26,No
33686,Company_33686,Manufacturing,1063228,Medium,Yes,No,None,0.4,No
33687,Company_33687,E-commerce,3889556,Low,No,No,None,0.55,No
33688,Company_33688,Banking,4335966,Medium,No,Yes,Corruption,0.51,No
33689,Company_33689,Manufacturing,4346555,Medium,Yes,No,None,0.69,No
33690,Company_33690,IT Services,3613703,High,No,No,None,0.79,No
33691,Company_33691,Manufacturing,4514446,Low,No,No,None,0.94,No
33692,Company_33692,Banking,1228307,Medium,No,No,None,0.38,No
